,0
1710,139389
1711,139398
1712,139406
1713,139414
1714,139423
1715,139431
1716,139439
1717,139448
1718,139456
1719,139464
1720,139473
1721,139481
1722,139489
1723,139498
1724,139506
1725,139514
1726,139523
1727,139531
1728,139539
1729,139548
1730,139556
1731,139564
1732,139573
1733,139581
1734,139589
1735,139598
1736,139606
1737,139614
1738,139623
1739,139631
1740,139639
1741,139648
1742,139656
1743,139665
1744,139673
1745,139681
1746,139690
1747,139698
1748,139706
1749,139715
1750,139723
1751,139731
1752,139740
1753,139748
1754,139756
1755,139765
1756,139773
1757,139781
1758,139790
1759,139798
1760,139806
1761,139815
1762,139823
1763,139831
1764,139840
1765,139848
1766,139856
1767,139865
1768,139873
1769,139881
1770,139890
1771,139898
1772,139906
1773,139915
1774,139923
1775,139931
1776,139940
1777,139948
1778,139956
1779,139965
1780,139973
1781,139982
1782,139990
1783,139998
1784,140007
1785,140015
1786,140023
1787,140032
1788,140040
1789,140048
1790,140057
1791,140065
1792,140073
1793,140082
1794,140090
1795,140098
1796,140107
1797,140115
1798,140123
1799,140132
1800,140140
1801,140148
1802,140157
1803,140165
1804,140173
1805,140182
1806,140190
1807,140198
1808,140207
1809,140215
1810,140223
1811,140232
1812,140240
1813,140248
1814,140257
1815,140265
1816,140273
1817,140282
1818,140290
1819,140298
1820,140307
1821,140315
1822,140324
1823,140332
1824,140340
1825,140349
1826,140357
1827,140365
1828,140374
1829,140382
1830,140390
1831,140399
1832,140407
1833,140415
1834,140424
1835,140432
1836,140440
1837,140449
1838,140457
1839,140465
1840,140474
1841,140482
1842,140490
1843,140499
1844,140507
1845,140515
1846,140524
1847,140532
1848,140540
1849,140549
1850,140557
1851,140565
1852,140574
1853,140582
1854,140590
1855,140599
1856,140607
1857,140615
1858,140624
1859,140632
1860,140641
1861,140649
1862,140657
1863,140666
1864,140674
1865,140682
1866,140691
1867,140699
1868,140707
1869,140716
1870,140724
1871,140732
1872,140741
1873,140749
1874,140757
1875,140766
1876,140774
1877,140782
1878,140791
1879,140799
1880,140807
1881,140816
1882,140824
1883,140832
1884,140841
1885,140849
1886,140857
1887,140866
1888,140874
1889,140882
1890,140891
1891,140899
1892,140907
1893,140916
1894,140924
1895,140932
1896,140941
1897,140949
1898,140957
1899,140966
1900,140974
1901,140983
1902,140991
1903,140999
1904,141008
1905,141016
1906,141024
1907,141033
1908,141041
1909,141049
1910,141058
1911,141066
1912,141074
1913,141083
1914,141091
1915,141099
1916,141108
1917,141116
1918,141124
1919,141133
1920,141141
1921,141149
1922,141158
1923,141166
1924,141174
1925,141183
1926,141191
1927,141199
1928,141208
1929,141216
1930,141224
1931,141233
1932,141241
1933,141249
1934,141258
1935,141266
1936,141274
1937,141283
1938,141291
1939,141299
1940,141308
1941,141316
1942,141325
1943,141333
1944,141341
1945,141350
1946,141358
1947,141366
1948,141375
1949,141383
1950,141391
1951,141400
1952,141408
1953,141416
1954,141425
1955,141433
1956,141441
1957,141450
1958,141458
1959,141466
1960,141475
1961,141483
1962,141491
1963,141500
1964,141508
1965,141516
1966,141525
1967,141533
1968,141541
1969,141550
1970,141558
1971,141566
1972,141575
1973,141583
1974,141591
1975,141600
1976,141608
1977,141616
1978,141625
1979,141633
1980,141641
1981,141650
1982,141658
1983,141667
1984,141675
1985,141683
1986,141692
1987,141700
1988,141708
1989,141717
1990,141725
1991,141733
1992,141742
1993,141750
1994,141758
1995,141767
1996,141775
1997,141783
1998,141792
1999,141800
2000,141808
2001,141817
2002,141825
2003,141833
2004,141842
2005,141850
2006,141858
2007,141867
2008,141875
2009,141883
2010,141892
2011,141900
2012,141908
2013,141917
2014,141925
2015,141933
2016,141942
2017,141950
2018,141958
2019,141967
2020,141975
2021,141984
2022,141992
2023,142000
2024,142009
2025,142017
2026,142025
2027,142034
2028,142042
2029,142050
2030,142059
2031,142067
2032,142075
2033,142084
2034,142092
2035,142100
2036,142109
2037,142117
2038,142125
2039,142134
2040,142142
2041,142150
2042,142159
2043,142167
2044,142175
2045,142184
2046,142192
2047,142200
2048,142209
2049,142217
2050,142225
2051,142234
2052,142242
2053,142250
2054,142259
2055,142267
2056,142275
2057,142284
2058,142292
2059,142300
2060,142309
2061,142317
2062,142326
2063,142334
2064,142342
2065,142351
2066,142359
2067,142367
2068,142376
2069,142384
2070,142392
2071,142401
2072,142409
2073,142417
2074,142426
2075,142434
2076,142442
2077,142451
2078,142459
2079,142467
2080,142476
2081,142484
2082,142492
2083,142501
2084,142509
2085,142517
2086,142526
2087,142534
2088,142542
2089,142551
2090,142559
2091,142567
2092,142576
2093,142584
2094,142592
2095,142601
2096,142609
2097,142617
2098,142626
2099,142634
2100,142643
2101,142651
2102,142659
2103,142668
2104,142676
2105,142684
2106,142693
2107,142701
2108,142709
2109,142718
2110,142726
2111,142734
2112,142743
2113,142751
2114,142759
2115,142768
2116,142776
2117,142784
2118,142793
2119,142801
2120,142809
2121,142818
2122,142826
2123,142834
2124,142843
2125,142851
2126,142859
2127,142868
2128,142876
2129,142884
2130,142893
2131,142901
2132,142909
2133,142918
2134,142926
2135,142934
2136,142943
2137,142951
2138,142959
2139,142968
2140,142976
2141,142985
2142,142993
2143,143001
2144,143010
2145,143018
2146,143026
2147,143035
2148,143043
2149,143051
2150,143060
2151,143068
2152,143076
2153,143085
2154,143093
2155,143101
2156,143110
2157,143118
2158,143126
2159,143135
2160,143143
2161,143151
2162,143160
2163,143168
2164,143176
2165,143185
2166,143193
2167,143201
2168,143210
2169,143218
2170,143226
2171,143235
2172,143243
2173,143251
2174,143260
2175,143268
2176,143276
2177,143285
2178,143293
2179,143301
2180,143310
2181,143318
2182,143327
2183,143335
2184,143343
2185,143352
2186,143360
2187,143368
2188,143377
2189,143385
2190,143393
2191,143402
2192,143410
2193,143418
2194,143427
2195,143435
2196,143443
2197,143452
2198,143460
2199,143468
2200,143477
2201,143485
2202,143493
2203,143502
2204,143510
2205,143518
2206,143527
2207,143535
2208,143543
2209,143552
2210,143560
2211,143568
2212,143577
2213,143585
2214,143593
2215,143602
2216,143610
2217,143618
2218,143627
2219,143635
2220,143643
2221,143652
2222,143660
2223,143669
2224,143677
2225,143685
2226,143694
2227,143702
2228,143710
2229,143719
2230,143727
2231,143735
2232,143744
2233,143752
2234,143760
2235,143769
2236,143777
2237,143785
2238,143794
2239,143802
2240,143810
2241,143819
2242,143827
2243,143835
2244,143844
2245,143852
2246,143860
2247,143869
2248,143877
2249,143885
2250,143894
2251,143902
2252,143910
2253,143919
2254,143927
2255,143935
2256,143944
2257,143952
2258,143960
2259,143969
2260,143977
2261,143986
2262,143994
2263,144002
2264,144011
2265,144019
2266,144027
2267,144036
2268,144044
2269,144052
2270,144061
2271,144069
2272,144077
2273,144086
2274,144094
2275,144102
2276,144111
2277,144119
2278,144127
2279,144136
2280,144144
2281,144152
2282,144161
2283,144169
2284,144177
2285,144186
2286,144194
2287,144202
2288,144211
2289,144219
2290,144227
2291,144236
2292,144244
2293,144252
2294,144261
2295,144269
2296,144277
2297,144286
2298,144294
2299,144302
2300,144311
2301,144319
2302,144328
2303,144336
2304,144344
2305,144353
2306,144361
2307,144369
2308,144378
2309,144386
2310,144394
2311,144403
2312,144411
2313,144419
2314,144428
2315,144436
2316,144444
2317,144453
2318,144461
2319,144469
2320,144478
2321,144486
2322,144494
2323,144503
2324,144511
2325,144519
2326,144528
2327,144536
2328,144544
2329,144553
2330,144561
2331,144569
2332,144578
2333,144586
2334,144594
2335,144603
2336,144611
2337,144619
2338,144628
2339,144636
2340,144645
2341,144653
2342,144661
2343,144670
2344,144678
2345,144686
2346,144695
2347,144703
2348,144711
2349,144720
2350,144728
2351,144736
2352,144745
2353,144753
2354,144761
2355,144770
2356,144778
2357,144786
2358,144795
2359,144803
2360,144811
2361,144820
2362,144828
2363,144836
2364,144845
2365,144853
2366,144861
2367,144870
2368,144878
2369,144886
2370,144895
2371,144903
2372,144911
2373,144920
2374,144928
2375,144936
2376,144945
2377,144953
2378,144961
2379,144970
2380,144978
2381,144987
2382,144995
2383,145003
2384,145012
2385,145020
2386,145028
2387,145037
2388,145045
2389,145053
2390,145062
2391,145070
2392,145078
2393,145087
2394,145095
2395,145103
2396,145112
2397,145120
2398,145128
2399,145137
2400,145145
2401,145153
2402,145162
2403,145170
2404,145178
2405,145187
2406,145195
2407,145203
